"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","87","Retrieve all books for a user role as admin","","Fri Jan 03 07:43:44 UTC 2025","passed","Fri Jan 03 07:43:44 UTC 2025","","","",""
"","98","Update a book with Invalid values (Non-Integer ID)","","Fri Jan 03 07:43:45 UTC 2025","passed","Fri Jan 03 07:43:45 UTC 2025","","","",""
"","343","Update a book with User Role","","Fri Jan 03 07:43:45 UTC 2025","passed","Fri Jan 03 07:43:45 UTC 2025","","","",""
"","347","Create a book with duplicate data","","Fri Jan 03 07:43:43 UTC 2025","passed","Fri Jan 03 07:43:44 UTC 2025","","","",""
"","113","Update a book with Empty values for Mandatory (Author and Title)","","Fri Jan 03 07:43:45 UTC 2025","failed","Fri Jan 03 07:43:45 UTC 2025","","","",""
"","177","Update a book with the same title but a different author","","Fri Jan 03 07:43:45 UTC 2025","failed","Fri Jan 03 07:43:46 UTC 2025","","","",""
"","91","Update - Attempt to update a non-existent book","","Fri Jan 03 07:43:45 UTC 2025","passed","Fri Jan 03 07:43:45 UTC 2025","","","",""
"","89","Retrieve a book by ID for a user role as user","","Fri Jan 03 07:43:44 UTC 2025","failed","Fri Jan 03 07:43:44 UTC 2025","","","",""
"","108","Delete a book with valid param as Admin","","Fri Jan 03 07:43:44 UTC 2025","failed","Fri Jan 03 07:43:44 UTC 2025","","","",""
"","569","Create a book with a user role","","Fri Jan 03 07:43:43 UTC 2025","passed","Fri Jan 03 07:43:43 UTC 2025","","","",""
"","83","Delete a book with non existing id as User","","Fri Jan 03 07:43:44 UTC 2025","failed","Fri Jan 03 07:43:44 UTC 2025","","","",""
"","255","Delete a book as User","","Fri Jan 03 07:43:44 UTC 2025","failed","Fri Jan 03 07:43:44 UTC 2025","","","",""
"","86","Delete a book with invalid param as Admin","","Fri Jan 03 07:43:44 UTC 2025","passed","Fri Jan 03 07:43:44 UTC 2025","","","",""
"","87","Delete a book with no existing param as Admin","","Fri Jan 03 07:43:44 UTC 2025","failed","Fri Jan 03 07:43:44 UTC 2025","","","",""
"","13","Retrieve a book by a non-existing ID for a user role as user","","Fri Jan 03 07:43:44 UTC 2025","failed","Fri Jan 03 07:43:44 UTC 2025","","","",""
"","98","Attempt to update a book without authentication","","Fri Jan 03 07:43:45 UTC 2025","passed","Fri Jan 03 07:43:45 UTC 2025","","","",""
"","88","Create a book with integer values","","Fri Jan 03 07:43:43 UTC 2025","failed","Fri Jan 03 07:43:43 UTC 2025","","","",""
"","86","Attempt to retrieve a book by an invalid ID for a user role as admin","","Fri Jan 03 07:43:44 UTC 2025","passed","Fri Jan 03 07:43:45 UTC 2025","","","",""
